"Date","total_cases","theft_cases","battery_cases","criminaldamage_cases","other_cases"
"2001-01",38119,7867,6527,3966,19760
"2001-02",33784,6669,6041,3665,17410
"2001-03",40565,7766,7662,4617,20521
"2001-04",40088,7702,8328,4922,19138
"2001-05",41836,8420,8887,4756,19773
"2001-06",41733,8612,8758,4772,19593
"2001-07",44698,9448,9113,5271,20869
"2001-08",44038,9609,8368,5108,20955
"2001-09",41513,8775,8012,4696,20031
"2001-10",43030,8999,8011,5129,20896
"2001-11",39605,7943,7100,4700,19865
"2001-12",36847,7467,6653,4256,18472
"2002-01",38417,7408,6700,4221,20090
"2002-02",33906,6309,5825,3761,18013
"2002-03",38585,7223,7306,4461,19598
"2002-04",40036,7525,7727,4796,19989
"2002-05",42913,8339,8907,4880,20787
"2002-06",42838,8444,9521,4962,19913
"2002-07",46010,9641,9805,5413,21154
"2002-08",44216,9581,8540,5103,20992
"2002-09",42388,8939,8644,4953,19855
"2002-10",43146,9188,8041,5161,20756
"2002-11",37153,7906,6619,4116,18513
"2002-12",37177,7828,6518,4114,18717
"2003-01",36715,7487,6128,3793,19313
"2003-02",32510,6496,5687,3430,16897
"2003-03",38650,7643,7400,4493,19116
"2003-04",39785,7794,7655,5234,19106
"2003-05",41195,8102,8252,4874,19968
"2003-06",40817,8199,8553,4928,19139
"2003-07",43415,9994,8464,4966,19994
"2003-08",44264,9846,8253,5057,21114
"2003-09",41426,8830,7508,4672,20416
"2003-10",43328,8924,7776,4977,21653
"2003-11",38052,7869,6580,4583,19025
"2003-12",35788,7692,6123,4004,17972
"2004-01",35112,6773,6096,3482,18761
"2004-02",34068,6274,6276,3379,18141
"2004-03",39857,7485,7557,4596,20219
"2004-04",38270,7123,7335,4495,19317
"2004-05",40780,7729,8430,4654,19968
"2004-06",41135,8417,8326,4860,19533
"2004-07",43238,10071,8074,4902,20192
"2004-08",43046,10039,7635,4935,20438
"2004-09",41214,8670,7788,4481,20275
"2004-10",41528,8699,7544,4995,20291
"2004-11",36841,7397,6188,4539,18719
"2004-12",34321,6786,5887,3846,17804
"2005-01",33872,6114,5921,3409,18431
"2005-02",31988,5592,5700,3583,17114
"2005-03",36906,6570,6622,4347,19368
"2005-04",38871,7041,7578,4763,19489
"2005-05",40473,7276,8215,5048,19934
"2005-06",40058,7408,8141,4803,19706
"2005-07",41809,8492,8046,5185,20088
"2005-08",41543,8458,7622,4943,20521
"2005-09",39628,7582,7520,4793,19733
"2005-10",39961,7746,7161,5358,19696
"2005-11",35983,7076,5965,4795,18147
"2005-12",32671,6329,5473,3521,17348
"2006-01",36765,7125,5962,4688,18992
"2006-02",31300,5565,5397,4028,16311
"2006-03",36982,6816,6879,4661,18627
"2006-04",36478,6724,7036,4763,17955
"2006-05",39616,7235,7756,4828,19798
"2006-06",38819,7456,7390,4913,19061
"2006-07",41553,8369,7947,5253,19985
"2006-08",40499,8236,6884,5402,19977
"2006-09",37775,7508,6740,4808,18721
"2006-10",38658,7512,6769,5094,19286
"2006-11",35570,6971,6089,4545,17966
"2006-12",34144,6723,5817,4141,17465
"2007-01",34118,6632,5585,3890,18012
"2007-02",27137,4829,4872,2758,14680
"2007-03",36350,6545,6885,4545,18381
"2007-04",35640,6611,6606,4589,17835
"2007-05",40092,7445,7871,5142,19634
"2007-06",38994,7613,7763,4699,18921
"2007-07",40992,8445,7723,5057,19767
"2007-08",39850,8126,7015,5007,19702
"2007-09",38264,7372,7265,4668,18962
"2007-10",39596,8005,7009,5325,19258
"2007-11",34425,6969,5592,4528,17337
"2007-12",31609,6564,5407,3541,16097
"2008-01",33389,6950,5491,3858,17092
"2008-02",29051,5531,5243,3132,15147
"2008-03",33983,6505,6210,4289,16979
"2008-04",35593,7158,6728,4419,17297
"2008-05",38065,7495,7445,4979,18147
"2008-06",37704,7854,7503,4850,17499
"2008-07",40492,8651,7338,5094,19411
"2008-08",40540,8501,7150,5105,19786
"2008-09",37454,8077,6571,4422,18385
"2008-10",37889,8260,6133,4838,18660
"2008-11",33563,7116,5436,4361,16652
"2008-12",29419,6337,4678,3495,14909
"2009-01",30262,6047,5037,3224,15957
"2009-02",28237,5516,4961,3239,14524
"2009-03",33688,6550,6211,4131,16796
"2009-04",32574,6555,5862,4099,16058
"2009-05",35245,6997,6826,4476,16950
"2009-06",34282,6775,6552,4342,16613
"2009-07",35677,7831,6244,4546,17058
"2009-08",35831,7733,6180,4427,17493
"2009-09",33869,7306,5789,3934,16843
"2009-10",33545,7151,5238,4255,16902
"2009-11",31400,6550,5067,4016,15767
"2009-12",28190,5964,4493,3036,14698
"2010-01",29255,6075,4667,2800,15713
"2010-02",24954,4803,4252,2452,13448
"2010-03",32344,6094,6028,3760,16462
"2010-04",31671,6135,5864,3853,15825
"2010-05",33408,6722,6409,3807,16476
"2010-06",32723,6912,6332,3586,15898
"2010-07",33516,7194,6310,3742,16270
"2010-08",34161,7490,6057,3748,16867
"2010-09",31896,6977,5362,3469,16092
"2010-10",32401,6908,5414,3727,16352
"2010-11",28893,6088,4649,3311,14849
"2010-12",25247,5359,4058,2398,13432
"2011-01",27223,5421,4434,2638,14731
"2011-02",22237,4368,3767,2398,11707
"2011-03",28702,5639,5176,2970,14917
"2011-04",29114,5868,5091,3353,14802
"2011-05",31596,6609,5796,3438,15753
"2011-06",32321,7027,5888,3483,15924
"2011-07",33261,7360,6231,3593,16079
"2011-08",32599,7413,5433,3311,16442
"2011-09",29944,6632,4773,3052,15489
"2011-10",30279,6674,5069,3286,15251
"2011-11",27648,6139,4363,2990,14160
"2011-12",27024,6002,4438,2820,13766
"2012-01",26320,5713,4309,2660,13639
"2012-02",23885,4887,3960,2350,12689
"2012-03",28573,5938,5276,3144,14217
"2012-04",27189,6192,4695,3081,13221
"2012-05",30107,6463,5839,3271,14538
"2012-06",31090,7072,5805,3502,14717
"2012-07",31984,7263,5971,3424,15329
"2012-08",30049,7027,5376,3092,14558
"2012-09",27770,6562,4761,2956,13493
"2012-10",27984,6400,4735,2927,13923
"2012-11",26045,6083,4259,2744,12959
"2012-12",25241,5866,4149,2704,12523
"2013-01",25539,5465,3927,2501,13648
"2013-02",21417,4544,3495,1875,11504
"2013-03",24986,5339,4374,2498,12775
"2013-04",25536,5562,4637,2717,12620
"2013-05",28007,6166,5216,2990,13636
"2013-06",27393,6292,5464,2829,12809
"2013-07",28638,7122,5264,2841,13411
"2013-08",28668,7180,5044,2879,13567
"2013-09",26354,6529,4723,2654,12449
"2013-10",25480,6206,4453,2629,12196
"2013-11",23569,5809,3769,2380,11612
"2013-12",21868,5320,3640,2062,10846
"2014-01",20074,4448,3336,1790,10501
"2014-02",18044,4017,3175,1595,9257
"2014-03",22193,4516,3975,2207,11495
"2014-04",22933,4836,4188,2430,11481
"2014-05",24873,5352,4804,2564,12153
"2014-06",25457,5839,4822,2489,12308
"2014-07",26575,6336,4773,2672,12795
"2014-08",25898,5885,4747,2645,12622
"2014-09",23907,5486,4236,2389,11797
"2014-10",24006,5563,4069,2496,11879
"2014-11",20779,4540,3675,2262,10302
"2014-12",20984,4750,3651,2259,10324
"2015-01",20970,4407,3538,1924,11102
"2015-02",16406,3228,2911,1504,8763
"2015-03",21681,4275,4135,2238,11037
"2015-04",21733,4528,4119,2465,10622
"2015-05",23711,4941,4893,2600,11280
"2015-06",23194,5015,4579,2463,11138
"2015-07",24233,5398,4574,2821,11446
"2015-08",24819,5629,4627,2685,11882
"2015-09",23131,5180,4269,2516,11170
"2015-10",23107,5155,4039,2593,11320
"2015-11",20597,4567,3553,2388,10089
"2015-12",21148,5027,3686,2479,9957
"2016-01",20767,4486,3728,2374,10180
"2016-02",18746,4007,3497,2089,9159
"2016-03",22061,4661,4278,2538,10585
"2016-04",21175,4595,4030,2392,10161
"2016-05",23548,5047,4715,2733,11056
"2016-06",24079,5359,4852,2641,11228
"2016-07",24858,5821,4688,2987,11364
"2016-08",24924,6005,4586,2974,11364
"2016-09",23698,5736,4318,2850,10797
"2016-10",23760,5723,4340,2758,10942
"2016-11",21745,5257,3822,2580,10089
"2016-12",20388,4922,3445,2102,9925
"2017-01",22163,4956,3568,2425,11216
"2017-02",19315,4398,3415,2048,9460
"2017-03",20570,4501,3859,2238,9980
"2017-04",21704,4803,4101,2451,10351
"2017-05",23391,5338,4563,2518,10974
"2017-06",23869,5793,4652,2582,10848
"2017-07",24875,6089,4702,2745,11342
"2017-08",24741,6463,4424,2685,11173
"2017-09",22847,5526,4398,2414,10515
"2017-10",22929,5735,4171,2439,10587
"2017-11",21511,5383,3724,2335,10071
"2017-12",21111,5396,3661,2165,9890
"2018-01",20554,4855,3590,1931,10181
"2018-02",17361,3900,3200,1672,8591
"2018-03",21250,4751,3958,2337,10206
"2018-04",21158,4999,3803,2240,10116
"2018-05",24753,5738,4981,2671,11363
"2018-06",24255,6038,4642,2589,10988
"2018-07",25280,6168,4885,2725,11504
"2018-08",25473,6529,4615,2636,11696
"2018-09",23118,5786,4352,2287,10695
"2018-10",22850,5670,4304,2521,10360
"2018-11",20690,5162,3637,1969,9925
"2018-12",22006,5690,3861,2246,10210
"2019-01",19737,4559,3525,1794,9860
"2019-02",18435,4392,3344,1717,8983
"2019-03",20447,4479,4060,2026,9882
"2019-04",21032,4653,3977,2277,10129
"2019-05",23674,5398,4759,2498,11021
"2019-06",23634,5655,4749,2531,10701
"2019-07",24871,5999,4872,2597,11405
"2019-08",24430,6173,4556,2567,11136
"2019-09",22462,5443,4321,2370,10330
"2019-10",21713,5390,3863,2328,10137
"2019-11",19975,4888,3672,1989,9426
"2019-12",20814,5459,3818,1987,9550
"2020-01",19919,4603,3608,1792,9918
"2020-02",18191,4176,3387,1742,8887
"2020-03",16745,3533,3561,1892,7760
"2020-04",12913,2506,2693,1784,5930
"2020-05",17594,2921,3505,2478,8693
"2020-06",17659,3085,3922,2451,8204
"2020-07",19628,3674,4153,2503,9305
"2020-08",19910,3885,4076,2365,9585
"2020-09",17931,3621,3443,2169,8699
"2020-10",18439,3425,3416,2144,9455
"2020-11",16641,2964,3019,1888,8772
"2020-12",16498,2921,2729,1670,9180
"2021-01",16160,2667,2776,1727,8992
"2021-02",13081,2123,2439,1457,7063
"2021-03",16094,2737,3101,1896,8362
"2021-04",15564,2800,3076,1948,7741
"2021-05",17792,3268,3679,2287,8562
"2021-06",18813,3501,3845,2317,9156
"2021-07",19236,3961,3884,2489,8908
"2021-08",18532,3888,3805,2322,8519
"2021-09",19221,3952,3829,2298,9145
"2021-10",19348,4227,3755,2247,9121
"2021-11",17407,3838,3101,2087,8383
"2021-12",17292,3826,3170,2018,8278
"2022-01",15572,3387,2847,1687,7654
"2022-02",15214,3324,2755,1554,7584
"2022-03",18347,4165,3354,1988,8844
"2022-04",17975,3928,3369,2032,8650
"2022-05",20110,4494,3927,2190,9503
"2022-06",20726,5039,3846,2326,9515
"2022-07",22226,5729,3752,2568,10179
"2022-08",22223,5239,3736,2714,10538
"2022-09",22238,5105,3717,2618,10803
"2022-10",23108,5233,3495,2832,11550
"2022-11",20686,4709,3078,2459,10444
"2022-12",19746,4398,3007,2264,10086
"2023-01",20807,4266,3164,2385,10993
"2023-02",18146,3775,3040,1933,9399
"2023-03",20191,4372,3386,2312,10121
"2023-04",13992,2845,2474,1734,6941
