"Date","total_cases","theft_cases","burglary_cases","motor_vehicle_theft_cases","robbery_cases","arson_cases","deceptive_practice_cases","criminal_damage_cases","battery_cases","assault_cases","homicide_cases","kidnapping_cases","sex_offense_cases","crim_sexual_assault_cases","domestic_violence_cases","stalking_cases","intimidation_cases","narcotics_cases","public_peace_violation_cases","interference_cases","weapons_violation_cases","concealed_carry_cases","liquor_law_violation_cases","public_indecency_cases","other_offense_cases","prostitution_cases","children_cases","criminal_trespass_cases","gambling_cases","ritualism_cases","other_narcotic_cases","human_trafficking_cases","obscenity_cases","non_criminal_case"
"2011-09",29944,6632,2514,1436,1278,40,1209,3052,4773,1801,38,18,96,132,0,14,17,3279,295,110,343,0,50,1,1526,250,195,742,97,0,1,0,5,0
"2011-10",30279,6674,2460,1488,1401,44,1213,3286,5069,1708,43,24,82,139,0,16,18,2980,258,93,376,0,56,1,1638,207,187,746,66,0,2,0,4,0
"2011-11",27648,6139,2293,1509,1215,37,1098,2990,4363,1455,33,27,86,109,0,16,10,3039,208,93,284,0,32,2,1588,204,164,622,28,0,1,0,3,0
"2011-12",27024,6002,2196,1504,1228,36,1133,2820,4438,1409,36,24,69,108,0,15,13,2921,201,83,311,0,29,1,1403,191,219,618,15,0,0,0,1,0
"2012-01",26320,5713,1757,1440,1011,39,1144,2660,4309,1294,42,17,144,130,0,24,10,3271,189,80,317,0,50,2,1538,194,270,662,9,0,0,0,4,0
"2012-02",23884,4887,1397,1151,696,23,1013,2350,3960,1324,27,14,64,103,0,17,11,3582,207,105,270,0,52,1,1548,198,168,698,17,0,0,0,1,0
"2012-03",28573,5938,1638,1354,845,40,1088,3144,5276,1856,51,15,112,108,0,20,13,3542,300,100,353,0,74,0,1490,267,216,686,44,0,0,0,3,0
"2012-04",27189,6192,1646,1334,975,48,1086,3081,4695,1626,41,23,76,111,0,15,15,3027,226,99,286,0,53,0,1467,173,153,677,62,0,0,0,2,0
"2012-05",30107,6463,1924,1466,1267,42,1089,3271,5839,1929,46,20,104,132,0,13,17,3068,317,106,321,0,37,2,1531,135,192,706,65,0,0,0,3,2
"2012-06",31090,7072,2063,1469,1282,44,1109,3502,5805,1896,43,21,113,134,0,16,7,3061,258,131,330,0,51,1,1494,210,213,658,107,0,0,0,0,0
"2012-07",31984,7263,2277,1422,1332,48,1131,3424,5971,1929,47,21,98,154,0,18,17,3222,268,122,360,0,42,5,1515,209,211,772,103,0,0,0,0,3
"2012-08",30049,7027,2221,1346,1272,56,1225,3092,5376,1890,52,21,85,132,0,15,11,2663,261,130,374,0,45,1,1469,198,184,771,127,0,2,0,2,1
"2012-09",27770,6562,1993,1306,1168,43,1120,2956,4761,1635,42,25,92,108,0,13,18,2611,285,101,408,0,57,2,1337,174,159,703,86,0,1,0,3,1
"2012-10",27984,6400,2128,1377,1232,29,1266,2927,4735,1728,36,25,78,116,0,21,12,2562,277,83,311,0,39,2,1463,189,200,700,45,0,1,0,2,0
"2012-11",26045,6083,1992,1414,1211,25,1276,2744,4259,1404,39,15,62,119,0,19,9,2443,216,92,298,0,43,1,1320,146,174,599,37,0,2,0,3,0
"2012-12",25241,5866,1808,1413,1194,32,1213,2704,4149,1388,24,18,59,109,0,16,16,2437,203,79,279,0,30,0,1311,111,172,584,22,0,0,0,3,1
"2013-01",25539,5465,1584,1470,1094,30,1313,2501,3927,1396,40,23,118,139,0,12,5,2939,209,101,315,0,40,0,1611,163,298,741,1,0,0,2,2,0
"2013-02",21417,4544,1171,1248,731,21,1073,1875,3495,1182,13,22,74,89,0,6,11,2833,210,75,226,0,33,0,1466,147,201,656,13,0,0,0,2,0
"2013-03",24986,5339,1247,1090,772,33,1203,2498,4374,1416,17,19,81,111,0,14,10,3303,265,119,240,0,65,0,1653,175,228,699,13,0,0,0,1,1
"2013-04",25536,5562,1366,927,849,30,1213,2717,4637,1612,25,11,86,84,0,16,14,2974,295,130,287,0,35,1,1567,156,174,713,54,0,0,0,1,0
"2013-05",28007,6166,1563,962,976,45,1199,2990,5216,1843,46,26,103,113,0,13,17,3079,366,128,310,0,47,1,1599,177,209,729,81,0,0,0,2,1
"2013-06",27393,6292,1477,1039,990,34,1075,2829,5464,1760,44,27,88,129,0,15,8,2674,326,122,316,0,59,3,1511,119,207,683,98,0,1,0,3,0
"2013-07",28638,7122,1567,1039,1224,40,1133,2841,5264,1634,47,21,98,131,0,9,14,2975,291,108,302,0,28,1,1620,151,190,680,102,0,0,0,6,0
"2013-08",28668,7180,1771,1030,1110,36,1155,2879,5044,1610,49,26,108,137,0,12,15,3021,249,129,328,0,29,0,1589,123,174,778,81,0,2,0,2,1
"2013-09",26354,6529,1634,955,1077,28,1067,2654,4723,1612,42,18,95,110,0,18,9,2647,281,110,269,0,46,1,1364,140,201,633,88,0,1,0,2,0
"2013-10",25480,6206,1599,928,994,22,1117,2629,4453,1511,29,12,90,111,0,12,12,2721,287,86,232,0,29,0,1357,112,194,680,55,0,0,0,1,1
"2013-11",23569,5809,1478,890,928,21,1222,2380,3769,1254,28,23,60,104,0,14,8,2732,186,79,202,0,34,2,1382,146,191,614,9,0,0,0,2,2
"2013-12",21868,5320,1438,1004,1075,24,1141,2062,3640,1142,38,14,57,84,0,13,12,2229,170,94,218,0,20,1,1279,43,216,530,1,0,1,0,1,1
"2014-01",20074,4448,1137,817,798,22,1328,1790,3336,1037,19,20,97,118,0,7,10,2224,169,90,201,0,32,0,1420,69,308,576,1,0,0,0,0,0
"2014-02",18044,4017,889,682,556,27,1113,1595,3175,1022,21,15,57,76,0,6,4,2356,164,84,146,1,25,1,1182,120,168,536,2,0,2,0,1,1
"2014-03",22193,4516,1054,910,624,26,1602,2207,3975,1388,24,22,63,100,0,10,12,2644,230,92,224,2,25,2,1402,96,222,703,12,0,1,0,5,0
"2014-04",22933,4836,1124,702,726,32,1406,2430,4188,1407,35,12,83,113,0,10,5,2633,238,112,273,2,31,3,1501,142,205,643,36,0,1,0,3,1
"2014-05",24873,5352,1206,728,835,45,1264,2564,4804,1669,41,20,100,110,0,11,10,2640,302,131,354,1,50,0,1606,125,210,648,41,0,1,0,4,1
"2014-06",25457,5839,1244,906,860,42,1382,2489,4822,1660,36,22,112,137,0,12,12,2443,283,140,327,1,41,0,1520,131,244,682,62,0,1,1,4,2
"2014-07",26575,6336,1397,913,927,54,1353,2672,4773,1631,37,20,80,112,0,16,11,2772,300,158,341,2,31,0,1505,183,171,708,61,0,1,0,4,6
"2014-08",25898,5885,1384,865,883,33,1378,2645,4747,1616,47,22,107,146,0,17,15,2644,279,167,274,0,48,2,1526,197,222,674,69,0,1,0,1,4
"2014-09",23907,5486,1300,858,872,28,1339,2389,4236,1573,45,21,95,126,0,19,14,2387,288,138,265,2,25,0,1394,163,178,606,53,0,0,0,2,5
"2014-10",24006,5563,1358,922,960,28,1291,2496,4069,1504,37,20,96,117,0,12,9,2383,298,110,265,3,47,0,1352,142,197,678,41,0,1,0,3,4
"2014-11",20779,4540,1135,848,795,38,1185,2262,3675,1160,39,13,66,126,0,9,5,2133,198,97,223,0,25,1,1301,149,181,556,11,0,1,0,5,2
"2014-12",20984,4750,1341,760,964,22,1307,2259,3651,1236,40,13,56,101,0,13,8,1859,154,80,220,1,17,1,1276,108,205,529,4,0,0,1,7,1
"2015-01",20970,4407,1065,826,798,17,1351,1924,3538,1222,29,15,107,161,0,17,8,2339,180,112,251,0,21,1,1481,182,324,577,5,0,0,3,7,2
"2015-02",16405,3228,663,627,456,20,1328,1504,2911,1082,19,14,55,79,0,7,8,1971,137,109,187,1,19,1,1225,119,189,438,2,0,1,0,3,2
"2015-03",21681,4275,847,784,617,41,1448,2238,4135,1437,31,19,75,106,0,17,15,2462,249,113,327,3,31,1,1485,109,206,583,24,0,0,0,3,0
"2015-04",21733,4528,921,725,678,42,1494,2465,4119,1396,35,14,68,104,0,14,8,2091,228,90,291,2,28,1,1482,104,188,576,33,0,1,1,6,0
"2015-05",23711,4941,1075,851,730,41,1325,2600,4893,1676,47,14,93,110,0,17,11,1976,222,116,298,6,22,1,1679,155,199,559,42,0,0,0,9,3
"2015-06",23193,5015,1130,909,768,39,1314,2463,4579,1589,47,8,103,154,0,10,10,1843,241,129,314,6,33,1,1489,129,215,607,35,0,1,2,2,8
"2015-07",24233,5398,1157,892,916,51,1392,2821,4574,1593,51,15,95,128,0,14,10,1928,219,109,370,4,25,2,1568,101,211,542,42,0,1,2,1,1
"2015-08",24819,5629,1250,967,930,40,1385,2685,4627,1597,51,21,100,130,0,13,15,2098,204,134,322,0,37,0,1618,131,186,578,64,0,0,1,2,4
"2015-09",23131,5180,1181,864,931,39,1349,2516,4269,1530,61,17,105,135,0,17,10,2047,217,115,315,3,26,1,1406,75,183,487,41,0,1,2,4,4
"2015-10",23107,5155,1301,842,956,46,1381,2593,4039,1427,32,16,90,121,0,9,13,2105,211,109,276,5,25,1,1520,88,197,525,14,0,0,2,4,4
"2015-11",20597,4567,1218,864,819,45,1264,2388,3553,1252,39,18,79,105,0,11,4,1782,169,103,241,2,15,2,1321,64,169,488,6,0,0,0,5,4
"2015-12",21148,5027,1376,917,1039,32,1405,2479,3686,1247,33,19,72,105,0,9,11,1297,145,69,172,2,10,2,1292,65,187,441,2,0,0,0,3,4
"2016-01",20767,4486,1182,983,1041,42,1655,2374,3728,1226,53,23,125,127,0,9,10,1147,106,46,192,1,25,0,1345,69,294,462,3,0,1,0,8,4
"2016-02",18746,4007,842,835,702,31,1531,2089,3497,1241,41,10,79,108,0,7,8,1303,111,44,214,4,17,1,1318,70,181,438,4,0,0,1,3,9
"2016-03",22061,4661,1048,781,785,41,1591,2538,4278,1641,44,15,67,136,0,11,9,1476,141,85,289,2,27,0,1579,58,232,500,14,0,0,1,4,7
"2016-04",21175,4595,946,756,771,46,1575,2392,4030,1508,37,19,68,123,0,11,9,1459,142,91,284,2,26,0,1422,113,216,505,23,0,0,1,3,2
"2016-05",23548,5047,1106,823,961,55,1477,2733,4715,1789,66,14,81,147,0,14,12,1401,164,90,342,1,17,3,1582,70,224,585,21,0,0,1,4,3
"2016-06",24079,5359,1080,931,905,41,1706,2641,4852,1817,80,26,102,159,0,18,14,1278,165,109,347,4,24,2,1511,57,226,590,25,0,2,0,3,5
"2016-07",24858,5821,1349,1038,1128,47,1532,2987,4688,1712,68,15,113,161,0,16,10,1244,154,73,303,3,18,0,1513,80,184,568,29,0,0,1,2,1
"2016-08",24924,6005,1374,1028,1238,46,1712,2974,4586,1761,91,22,100,150,0,11,15,864,124,79,321,7,17,3,1511,71,200,577,28,0,0,2,2,5
"2016-09",23698,5736,1371,979,1028,45,1628,2850,4318,1694,63,17,103,132,0,26,11,897,127,84,334,2,17,1,1353,75,191,579,24,0,0,3,3,7
"2016-10",23760,5723,1314,1010,1149,51,1713,2758,4340,1668,80,15,89,153,0,17,11,762,161,97,294,4,26,0,1487,61,197,552,12,0,0,1,10,5
"2016-11",21745,5257,1376,1016,1163,34,1490,2580,3822,1423,77,15,60,122,0,17,14,778,116,78,286,2,5,0,1303,64,147,485,6,0,0,0,5,4
"2016-12",20388,4922,1301,1106,1089,37,1719,2102,3445,1262,53,11,57,97,0,19,13,724,96,60,244,4,8,0,1383,12,151,465,0,0,1,0,4,3
"2017-01",22162,4956,1274,1173,1075,38,1816,2425,3568,1374,52,8,107,163,0,17,9,985,123,84,336,7,10,1,1569,86,325,573,1,0,0,1,3,3
"2017-02",19315,4398,1013,878,787,40,1537,2048,3415,1295,44,13,72,126,0,18,15,956,99,85,331,3,22,1,1390,52,135,527,9,0,0,0,4,2
"2017-03",20570,4501,931,801,783,27,1651,2238,3859,1486,34,18,80,109,0,19,14,1127,126,81,307,4,27,0,1525,68,186,548,4,0,1,3,10,2
"2017-04",21704,4803,968,837,851,47,1561,2451,4101,1638,47,15,78,150,0,25,11,1043,129,98,406,5,7,1,1582,88,187,548,21,0,0,0,5,1
"2017-05",23391,5338,1061,831,903,38,1566,2518,4563,1853,55,19,91,136,0,14,8,1119,153,105,397,6,20,3,1634,74,223,631,20,0,0,1,8,3
"2017-06",23869,5793,1090,1013,982,46,1610,2582,4652,1857,81,16,94,123,0,14,15,865,126,97,442,3,20,0,1415,76,198,617,30,0,0,0,6,6
"2017-07",24874,6089,1206,992,1004,34,1646,2745,4702,1821,72,23,103,165,0,21,13,1004,148,107,519,6,28,0,1531,61,179,622,21,0,2,0,6,4
"2017-08",24741,6463,1153,951,1174,43,1656,2685,4424,1740,55,13,83,159,0,16,16,995,145,104,456,8,19,0,1459,81,200,598,34,0,2,1,4,4
"2017-09",22847,5526,1040,915,1002,33,1645,2414,4398,1786,55,22,96,150,0,20,15,1027,131,86,418,6,13,1,1262,23,191,539,23,0,1,1,7,1
"2017-10",22928,5735,1199,983,1119,39,1642,2439,4171,1628,56,11,81,151,0,11,11,846,129,89,389,9,7,1,1345,25,197,571,17,0,0,2,21,4
"2017-11",21511,5383,1083,936,1128,38,1583,2335,3724,1454,39,16,93,131,0,10,9,927,105,72,337,6,9,0,1295,64,174,533,9,0,5,0,6,7
"2017-12",21111,5396,983,1070,1072,21,1747,2165,3661,1374,38,16,85,117,0,7,14,789,84,79,348,6,9,2,1262,37,211,507,2,0,0,0,7,2
"2018-01",20554,4855,952,1007,898,26,1652,1931,3590,1416,40,16,87,127,0,16,5,1083,89,86,410,4,23,0,1337,31,272,579,5,0,0,2,11,4
"2018-02",17361,3900,698,626,635,14,1493,1672,3200,1355,41,14,71,122,0,14,9,996,78,93,306,6,9,0,1263,20,164,548,1,0,0,1,9,3
"2018-03",21250,4751,822,736,738,32,1711,2337,3958,1620,32,14,90,118,0,15,13,1282,119,119,393,9,23,0,1471,38,201,586,8,0,0,2,10,2
"2018-04",21158,4999,941,752,693,27,1610,2240,3803,1640,43,12,85,120,0,17,8,1102,115,106,399,11,20,1,1509,101,201,586,10,0,0,0,2,5
"2018-05",24753,5738,975,831,802,33,1736,2671,4981,2037,54,17,126,151,0,24,14,1177,124,123,542,15,32,2,1607,95,214,599,23,0,0,0,8,2
"2018-06",24255,6038,1064,816,857,36,1669,2589,4642,1880,55,18,93,163,0,18,14,1083,137,115,499,14,26,4,1513,65,217,591,34,0,0,0,3,2
"2018-07",25280,6168,1141,856,876,41,1767,2725,4885,1944,61,14,91,161,0,27,24,1195,116,132,550,13,32,1,1573,46,184,597,42,0,0,0,14,4
"2018-08",25473,6529,1213,927,943,38,1789,2636,4615,1849,56,15,128,155,0,15,19,1276,121,127,561,17,25,1,1505,74,190,598,39,0,0,1,7,4
"2018-09",23118,5786,1052,905,768,32,1576,2287,4352,1814,53,12,126,165,0,12,14,1176,112,117,487,20,28,1,1322,69,193,606,18,0,0,3,8,4
"2018-10",22850,5670,1004,794,837,36,1608,2521,4304,1718,54,7,113,156,0,15,18,1050,112,104,452,19,21,1,1388,48,213,562,13,0,0,1,7,4
"2018-11",20690,5162,913,818,787,26,1512,1969,3637,1543,44,16,91,143,0,16,15,1160,105,88,407,9,20,2,1430,85,179,501,6,0,1,0,2,3
"2018-12",22006,5690,971,917,846,32,1685,2246,3861,1590,43,17,86,134,0,18,15,1007,144,97,450,12,9,1,1345,46,177,555,2,0,0,2,6,2
"2019-01",19737,4559,797,707,658,22,1603,1794,3525,1459,22,8,99,155,0,19,21,1341,88,94,447,12,21,0,1430,65,217,563,4,0,0,3,3,1
"2019-02",18435,4392,671,654,497,29,1391,1717,3344,1420,24,14,108,112,0,21,10,1272,109,110,377,12,9,0,1411,37,192,497,2,0,0,0,3,0
"2019-03",20447,4479,677,717,509,28,1558,2026,4060,1667,37,19,105,121,0,24,10,1408,139,100,496,14,18,0,1459,47,200,515,5,0,0,1,8,0
"2019-04",21032,4653,700,770,599,31,1559,2277,3977,1734,57,13,81,120,0,11,18,1293,155,112,522,20,13,0,1454,45,249,562,3,0,1,1,1,1
"2019-05",23674,5398,815,764,632,25,1630,2498,4759,2045,53,21,126,160,0,17,12,1202,152,164,614,23,15,3,1560,69,248,645,14,0,2,0,8,0
"2019-06",23634,5655,790,773,767,29,1536,2531,4748,2003,51,13,117,133,0,24,10,1231,140,144,567,17,23,0,1484,45,184,579,28,0,0,4,8,0
"2019-07",24871,5999,928,885,776,46,1685,2597,4872,1931,42,21,125,180,0,25,17,1281,146,183,674,21,36,1,1479,100,177,626,13,0,0,1,4,0
"2019-08",24430,6173,904,843,769,36,1685,2567,4556,1833,49,10,123,155,0,19,17,1442,121,183,651,22,29,1,1339,80,194,591,31,0,1,3,3,0
"2019-09",22462,5443,875,679,691,29,1549,2370,4321,1791,49,13,137,149,0,21,19,1205,155,136,550,34,25,2,1361,30,187,611,24,0,0,1,4,1
"2019-10",21713,5390,863,726,686,28,1615,2328,3863,1726,36,4,110,133,0,13,13,1186,128,107,481,15,18,3,1397,47,201,578,12,0,0,1,5,0
"2019-11",19975,4888,792,692,666,32,1624,1989,3672,1474,34,19,112,113,0,20,8,1122,104,103,456,11,19,0,1212,66,190,542,4,0,3,0,7,1
"2019-12",20814,5459,827,767,744,41,1565,1987,3818,1537,34,18,117,120,0,12,8,1086,83,110,504,16,6,1,1209,50,178,509,2,0,1,0,5,0
"2020-01",19919,4603,740,668,726,23,1602,1792,3608,1519,34,14,98,151,0,15,9,1292,107,121,490,15,15,0,1422,38,232,575,2,0,2,0,6,0
"2020-02",18191,4176,619,653,637,31,1378,1742,3387,1386,37,11,92,115,0,18,13,1177,88,116,461,13,21,2,1245,27,206,535,0,0,1,2,2,0
"2020-03",16744,3533,568,628,495,27,1212,1892,3561,1477,28,8,86,107,0,20,8,741,80,81,464,11,11,1,1114,19,170,394,4,0,2,0,2,0
"2020-04",12913,2506,528,659,455,36,1110,1784,2693,1112,62,3,59,64,0,8,5,179,39,17,474,7,1,0,743,2,128,235,0,0,0,0,4,0
"2020-05",17594,2921,1323,829,599,78,1037,2478,3505,1488,83,11,62,94,0,10,10,484,408,37,792,12,4,1,878,11,153,277,1,0,0,1,7,0
"2020-06",17659,3085,754,794,574,74,1156,2451,3922,1724,91,15,92,104,0,22,21,339,156,28,783,13,1,0,967,31,165,285,6,0,0,0,6,0
"2020-07",19626,3674,738,959,734,63,1382,2503,4153,1891,102,8,100,117,0,16,21,517,77,43,804,14,29,0,1117,80,165,309,2,0,0,1,7,0
"2020-08",19909,3885,1062,996,816,57,1192,2365,4076,1835,66,11,98,109,0,23,15,552,91,50,985,11,28,2,1098,9,124,342,3,0,1,0,6,1
"2020-09",17930,3621,614,921,743,56,1196,2169,3443,1698,81,14,67,97,0,16,20,559,66,34,831,17,15,1,1059,48,162,374,3,0,0,1,4,0
"2020-10",18439,3425,643,1000,756,54,2057,2144,3416,1512,67,12,82,108,0,18,20,625,66,53,806,14,11,1,1064,4,157,315,1,0,0,0,8,0
"2020-11",16641,2964,619,939,755,49,2047,1888,3019,1337,61,7,70,96,0,21,13,509,47,34,777,13,3,1,945,4,147,271,3,1,0,0,1,0
"2020-12",16498,2921,549,911,565,40,2864,1670,2729,1275,55,6,59,77,0,16,8,517,45,40,765,8,4,0,936,4,166,265,0,0,0,0,3,0
"2021-01",16160,2667,486,802,727,39,2568,1727,2776,1339,53,3,77,85,0,27,9,508,46,34,705,11,5,1,1030,4,167,254,0,0,0,2,8,0
"2021-02",13081,2123,351,630,478,23,1615,1457,2439,1284,38,6,70,94,0,18,4,608,26,20,466,15,18,1,954,7,114,214,0,0,0,1,6,1
"2021-03",16094,2737,394,788,482,49,1619,1896,3101,1452,43,10,79,129,0,23,12,815,46,33,761,14,10,0,1162,6,144,279,1,0,1,0,8,0
"2021-04",15564,2800,416,714,466,41,1200,1948,3076,1601,54,8,75,116,0,34,14,495,46,21,779,15,8,0,1194,0,168,271,2,0,0,0,1,1
"2021-05",17792,3268,473,747,505,49,1263,2287,3679,1800,62,9,97,133,0,38,16,562,47,26,866,12,17,1,1348,11,196,272,1,0,1,2,3,1
"2021-06",18813,3501,508,834,600,49,1494,2317,3845,1905,78,8,94,147,0,30,10,471,65,28,908,18,17,0,1420,9,168,279,3,0,0,0,7,0
"2021-07",19235,3961,556,837,712,50,1325,2489,3884,1956,105,5,104,147,0,41,9,389,70,26,833,16,10,0,1219,12,163,308,1,0,0,1,6,0
"2021-08",18532,3888,600,910,655,48,1303,2322,3805,1871,81,9,95,143,0,29,8,321,35,24,796,16,9,0,1133,1,145,283,0,0,0,0,2,0
"2021-09",19221,3952,667,1016,773,46,1286,2298,3829,2038,89,7,105,121,0,25,9,286,76,28,809,21,25,0,1189,22,159,338,1,0,0,3,3,0
"2021-10",19348,4227,756,1161,837,44,1233,2247,3755,1871,61,6,112,134,0,43,13,325,56,23,739,20,20,0,1189,0,145,327,3,0,0,0,1,0
"2021-11",17406,3838,733,1064,781,43,1154,2087,3101,1629,59,9,100,126,0,34,5,295,43,24,698,12,29,0,1071,1,163,303,1,0,0,1,2,0
"2021-12",17292,3826,718,1096,902,47,1159,2018,3170,1595,54,7,80,122,0,28,14,251,46,27,620,3,16,1,1025,22,163,278,0,0,0,0,3,1
"2022-01",15572,3387,579,1107,686,26,1262,1687,2847,1322,51,7,86,107,0,29,14,271,24,20,544,12,5,0,1065,22,144,263,0,0,0,3,2,0
"2022-02",15213,3324,509,961,615,25,1044,1554,2755,1392,41,5,71,126,0,26,6,471,47,40,578,14,4,0,1108,41,158,292,0,0,1,5,0,0
"2022-03",18347,4165,578,1069,590,23,1386,1988,3354,1625,35,7,119,119,0,33,18,506,55,25,701,18,21,0,1380,1,159,363,1,0,0,2,6,0
"2022-04",17975,3928,560,1001,601,35,1316,2032,3369,1559,50,5,99,124,0,34,11,477,68,27,748,14,15,0,1352,35,154,355,0,0,0,0,4,2
"2022-05",20109,4494,604,1030,671,44,1281,2190,3927,1979,59,11,112,145,0,38,10,411,79,40,954,19,25,1,1356,39,198,389,3,0,0,0,0,0
"2022-06",20725,5039,674,1138,733,37,1317,2326,3846,2010,72,10,96,133,0,37,11,380,84,45,864,16,33,1,1308,9,134,365,1,0,0,2,4,0
"2022-07",22226,5729,700,1760,767,39,1274,2568,3752,1964,66,15,109,150,0,35,16,366,66,41,888,16,22,0,1306,8,179,382,2,0,1,2,3,0
"2022-08",22223,5239,672,2111,749,41,1399,2714,3736,1984,65,10,125,144,0,46,15,408,56,33,832,15,7,1,1209,23,188,391,2,0,1,1,6,0
"2022-09",22238,5105,654,2416,867,49,1507,2618,3717,1890,70,14,116,138,0,34,18,360,66,38,780,13,20,1,1142,59,158,378,0,0,2,1,7,0
"2022-10",23107,5233,689,3181,947,40,1527,2832,3495,1837,62,11,91,161,0,43,23,345,72,37,734,10,19,1,1160,26,147,372,0,0,0,2,8,2
"2022-11",20686,4709,676,2948,845,29,1381,2459,3078,1656,53,11,97,107,0,51,19,330,46,24,596,18,23,0,1050,14,132,331,0,0,0,0,3,0
"2022-12",19746,4398,698,2711,899,35,1380,2264,3007,1564,50,10,87,89,0,33,20,304,46,21,542,12,9,0,1080,6,132,340,0,0,2,1,5,1
"2023-01",20806,4266,673,2811,890,46,1324,2385,3164,1697,42,12,86,120,0,45,25,481,53,32,740,20,17,0,1253,63,170,387,1,0,0,0,3,0
"2023-02",18146,3775,540,2159,584,33,1256,1933,3040,1490,36,5,90,105,0,30,20,487,62,56,641,14,10,1,1216,15,163,379,0,0,2,1,3,0
"2023-03",20191,4372,555,2294,686,25,1330,2312,3386,1743,35,7,100,113,0,35,30,397,65,61,630,17,23,0,1364,7,159,439,1,0,0,1,4,0
"2023-04",13991,2845,384,1667,494,23,798,1734,2474,1276,37,5,85,88,0,23,13,224,62,39,507,10,5,0,830,5,114,248,0,0,0,0,1,0
